problems,category,model,failure-mode,prompt,prompt-type,programming-lang
Apples_and_Bananas.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Beautiful_Subgrids.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Cut_and_Paste.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Distinct_Routes_II.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Dynamic_Connectivity.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Eulerian_Subgraphs.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Hamming_Distance.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Houses_and_Schools.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Knuth_Division.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Meet_in_the_Middle.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
